year,month,rainfall_mm,temperature_c
1991,Jan,38.2847,25.1631
1991,Feb,12.7492,26.0839
1991,Mar,73.3656,26.2236
1991,Apr,83.135,25.5812
1991,May,112.275,24.6618
1991,Jun,33.6106,23.9439
1991,Jul,36.6575,22.9982
1991,Aug,32.8066,23.0391
1991,Sep,18.3184,23.9423
1991,Oct,41.2266,25.5236
1991,Nov,60.2294,24.5875
1991,Dec,53.4232,24.7398
1992,Jan,10.2491,24.4359
1992,Feb,15.9125,26.2892
1992,Mar,17.0754,26.5409
1992,Apr,119.919,26.0819
1992,May,80.6001,24.7852
1992,Jun,30.0842,24.0563
1992,Jul,35.1079,22.8377
1992,Aug,28.0127,22.7902
1992,Sep,24.3121,23.8958
1992,Oct,47.1624,24.7925
1992,Nov,106.824,24.4195
1992,Dec,98.4172,24.4344
1993,Jan,80.9318,24.2897
1993,Feb,53.6675,25.0506
1993,Mar,24.0511,25.7925
1993,Apr,77.5293,25.9763
1993,May,110.664,24.9779
1993,Jun,50.2024,23.7715
1993,Jul,14.9912,22.8375
1993,Aug,21.9237,23.5543
1993,Sep,15.6103,23.8431
1993,Oct,42.0606,24.2092
1993,Nov,75.1036,25.2338
1993,Dec,40.1232,24.5048
1994,Jan,6.64417,24.6522
1994,Feb,17.6202,25.9058
1994,Mar,47.8114,25.7528
1994,Apr,111.038,25.6103
1994,May,82.2793,24.6294
1994,Jun,33.7607,23.7561
1994,Jul,44.5223,22.8275
1994,Aug,31.9213,23.5708
1994,Sep,20.1774,24.1753
1994,Oct,69.6349,25.222
1994,Nov,168.397,24.1713
1994,Dec,54.453,24.3497
1995,Jan,10.5799,24.9216
1995,Feb,37.3085,25.9945
1995,Mar,69.4802,26.1929
1995,Apr,150.358,26.0064
1995,May,66.9476,24.8333
1995,Jun,23.5026,24.1121
1995,Jul,27.0207,23.2944
1995,Aug,32.2454,23.6887
1995,Sep,30.5747,24.3098
1995,Oct,87.7315,25.3407
1995,Nov,72.5827,25.0667
1995,Dec,43.8125,25.0193
1996,Jan,24.3053,25.7146
1996,Feb,27.9605,26.4811
1996,Mar,74.9097,26.5805
1996,Apr,71.0857,25.7333
1996,May,85.918,24.6923
1996,Jun,50.8206,23.7897
1996,Jul,33.833,23.1185
1996,Aug,25.6055,23.2079
1996,Sep,23.9495,24.014
1996,Oct,19.2856,24.8826
1996,Nov,85.853,24.6425
1996,Dec,6.98666,24.9152
1997,Jan,8.74094,25.5562
1997,Feb,1.15765,25.9044
1997,Mar,45.8383,26.1192
1997,Apr,188.323,25.2267
1997,May,63.3745,24.7565
1997,Jun,46.6663,23.8643
1997,Jul,29.0068,23.3821
1997,Aug,28.8858,23.5251
1997,Sep,7.70611,24.9931
1997,Oct,179.669,25.0558
1997,Nov,247.081,24.4959
1997,Dec,116.062,24.6103
1998,Jan,76.2871,25.613
1998,Feb,59.9695,26.3175
1998,Mar,50.1806,26.7041
1998,Apr,115.334,25.8261
1998,May,149.305,24.5654
1998,Jun,69.6817,24.1029
1998,Jul,36.89,23.3852
1998,Aug,29.2989,23.313
1998,Sep,22.4775,24.3268
1998,Oct,30.0269,25.8522
1998,Nov,72.004,24.8346
1998,Dec,12.8653,24.7358
1999,Jan,17.4185,25.5838
1999,Feb,3.90971,26.7698
1999,Mar,85.2266,26.7005
1999,Apr,95.084,25.8207
1999,May,56.7194,25.3357
1999,Jun,30.8994,23.9813
1999,Jul,34.1242,23.1006
1999,Aug,37.8536,23.2923
1999,Sep,22.0581,24.4701
1999,Oct,62.4518,24.4443
1999,Nov,105.164,24.4406
1999,Dec,46.1816,24.4371
2000,Jan,14.7556,24.5514
2000,Feb,4.22166,25.5136
2000,Mar,32.876,26.5248
2000,Apr,68.5452,26.3236
2000,May,52.9646,25.2045
2000,Jun,37.8617,23.5084
2000,Jul,18.5894,24.1301
2000,Aug,32.591,24.0395
2000,Sep,25.9999,24.0184
2000,Oct,54.8905,24.5562
2000,Nov,76.8925,25.8349
2000,Dec,28.327,24.6516
2001,Jan,73.4348,25.6423
2001,Feb,9.14876,26.8772
2001,Mar,60.4919,27.1555
2001,Apr,102.772,25.7671
2001,May,59.8898,24.9937
2001,Jun,39.8834,23.4213
2001,Jul,30.7087,23.153
2001,Aug,27.1292,23.4107
2001,Sep,21.0991,24.7741
2001,Oct,40.8778,25.855
2001,Nov,130.099,24.8915
