year,month,region,county,market_name,food_category,food_item,measurement_unit,local_price,normalized_unit,rainfall_mm,temperature_c
2022,Dec,Central,Nyeri,Karatina (Nyeri),cereals and tubers,"Potatoes (Irish, red)",50 KG,2433.0,50.0,58.11,25.35
2022,Dec,Central,Nyeri,Karatina (Nyeri),vegetables and fruits,Cabbage,126 KG,1512.0,126.0,58.11,25.35
2022,Dec,Central,Nyeri,Karatina (Nyeri),vegetables and fruits,Kale,50 KG,750.0,50.0,58.11,25.35
2022,Dec,Central,Nyeri,Karatina (Nyeri),vegetables and fruits,Onions (dry),13 KG,498.0,13.0,58.11,25.35
2022,Dec,Eastern,Machakos,Tala Centre Market (Machakos),cereals and tubers,"Potatoes (Irish, white)",50 KG,2613.0,50.0,58.11,25.35
2022,Dec,Eastern,Machakos,Tala Centre Market (Machakos),cereals and tubers,Rice (aromatic),50 KG,9000.0,50.0,58.11,25.35
2022,Dec,Eastern,Machakos,Tala Centre Market (Machakos),pulses and nuts,Beans (dolichos),90 KG,10800.0,90.0,58.11,25.35
2022,Dec,Eastern,Machakos,Tala Centre Market (Machakos),vegetables and fruits,Cabbage,126 KG,3125.0,126.0,58.11,25.35
2022,Dec,Eastern,Machakos,Tala Centre Market (Machakos),vegetables and fruits,Kale,50 KG,1500.0,50.0,58.11,25.35
2022,Dec,Eastern,Machakos,Tala Centre Market (Machakos),vegetables and fruits,Onions (dry),13 KG,520.0,13.0,58.11,25.35
2022,Dec,Nairobi,Nairobi,Kangemi (Nairobi),cereals and tubers,"Potatoes (Irish, white)",50 KG,2578.0,50.0,58.11,25.35
2022,Dec,Nairobi,Nairobi,Kangemi (Nairobi),cereals and tubers,Rice (aromatic),50 KG,8600.0,50.0,58.11,25.35
2022,Dec,Nairobi,Nairobi,Kangemi (Nairobi),pulses and nuts,Beans (dolichos),90 KG,13163.0,90.0,58.11,25.35
2022,Dec,Nairobi,Nairobi,Kangemi (Nairobi),pulses and nuts,Beans (yellow),90 KG,12414.0,90.0,58.11,25.35
2022,Dec,Nairobi,Nairobi,Kangemi (Nairobi),pulses and nuts,Cowpeas,90 KG,12501.0,90.0,58.11,25.35
2022,Dec,Nairobi,Nairobi,Kangemi (Nairobi),vegetables and fruits,Cabbage,126 KG,2583.0,126.0,58.11,25.35
2022,Dec,Nairobi,Nairobi,Kangemi (Nairobi),vegetables and fruits,Onions (dry),13 KG,907.0,13.0,58.11,25.35
2022,Dec,Nairobi,Nairobi,Kitengela (Kajiado),cereals and tubers,"Maize (white, dry)",90 KG,5709.0,90.0,58.11,25.35
2022,Dec,Nairobi,Nairobi,Kitengela (Kajiado),cereals and tubers,Rice (aromatic),50 KG,9500.0,50.0,58.11,25.35
2022,Dec,Nairobi,Nairobi,Kitengela (Kajiado),pulses and nuts,Beans (dolichos),90 KG,12558.0,90.0,58.11,25.35
2022,Dec,Nairobi,Nairobi,Kitengela (Kajiado),vegetables and fruits,Cabbage,126 KG,1824.0,126.0,58.11,25.35
2022,Dec,Nairobi,Nairobi,Kitengela (Kajiado),vegetables and fruits,Onions (dry),13 KG,481.0,13.0,58.11,25.35
2022,Dec,Nairobi,Nairobi,Kitengela (Kajiado),vegetables and fruits,Tomatoes,64 KG,3456.0,64.0,58.11,25.35
2022,Dec,North Eastern,Garissa,Garissa town (Garissa),cereals and tubers,"Potatoes (Irish, white)",50 KG,3250.0,50.0,58.11,25.35
2022,Dec,North Eastern,Garissa,Garissa town (Garissa),cereals and tubers,Sorghum (white),90 KG,7920.0,90.0,58.11,25.35
2022,Dec,North Eastern,Garissa,Garissa town (Garissa),pulses and nuts,Beans (yellow),90 KG,16650.0,90.0,58.11,25.35
2022,Dec,North Eastern,Garissa,Garissa town (Garissa),pulses and nuts,Cowpeas,90 KG,11655.0,90.0,58.11,25.35
2022,Dec,North Eastern,Garissa,Garissa town (Garissa),vegetables and fruits,Cabbage,126 KG,2898.0,126.0,58.11,25.35
2022,Dec,North Eastern,Garissa,Garissa town (Garissa),vegetables and fruits,Kale,50 KG,2125.0,50.0,58.11,25.35
2022,Dec,North Eastern,Garissa,Garissa town (Garissa),vegetables and fruits,Onions (dry),13 KG,845.0,13.0,58.11,25.35
2022,Dec,North Eastern,Garissa,Garissa town (Garissa),vegetables and fruits,Tomatoes,64 KG,3200.0,64.0,58.11,25.35
2022,Dec,Nyanza,Kisumu,Kibuye (Kisumu),cereals and tubers,"Maize (white, dry)",90 KG,5301.0,90.0,58.11,25.35
2022,Dec,Nyanza,Kisumu,Kibuye (Kisumu),cereals and tubers,"Potatoes (Irish, white)",50 KG,3667.0,50.0,58.11,25.35
2022,Dec,Nyanza,Kisumu,Kibuye (Kisumu),vegetables and fruits,Kale,50 KG,1500.0,50.0,58.11,25.35
2022,Dec,Rift Valley,Baringo,Marigat town (Baringo),cereals and tubers,"Maize (white, dry)",90 KG,5850.0,90.0,58.11,25.35
2022,Dec,Rift Valley,Baringo,Marigat town (Baringo),cereals and tubers,"Potatoes (Irish, white)",50 KG,4000.0,50.0,58.11,25.35
2022,Dec,Rift Valley,Baringo,Marigat town (Baringo),pulses and nuts,Beans (yellow),90 KG,10800.0,90.0,58.11,25.35
2022,Dec,Rift Valley,Baringo,Marigat town (Baringo),vegetables and fruits,Cabbage,126 KG,4410.0,126.0,58.11,25.35
2022,Dec,Rift Valley,Baringo,Marigat town (Baringo),vegetables and fruits,Kale,50 KG,1500.0,50.0,58.11,25.35
2022,Dec,Rift Valley,Baringo,Marigat town (Baringo),vegetables and fruits,Onions (dry),13 KG,715.0,13.0,58.11,25.35
2022,Dec,Rift Valley,Baringo,Marigat town (Baringo),vegetables and fruits,Tomatoes,64 KG,3200.0,64.0,58.11,25.35
2022,Dec,Rift Valley,Nakuru,Wakulima (Nakuru),cereals and tubers,"Potatoes (Irish, white)",50 KG,4650.0,50.0,58.11,25.35
2022,Dec,Rift Valley,Nakuru,Wakulima (Nakuru),cereals and tubers,Sorghum (white),90 KG,6330.0,90.0,58.11,25.35
2022,Dec,Rift Valley,Nakuru,Wakulima (Nakuru),pulses and nuts,Beans (dolichos),90 KG,13959.0,90.0,58.11,25.35
2022,Dec,Rift Valley,Nakuru,Wakulima (Nakuru),pulses and nuts,Beans (yellow),90 KG,12600.0,90.0,58.11,25.35
2022,Dec,Rift Valley,Nakuru,Wakulima (Nakuru),pulses and nuts,Cowpeas,90 KG,9665.0,90.0,58.11,25.35
2022,Dec,Rift Valley,Nakuru,Wakulima (Nakuru),vegetables and fruits,Kale,50 KG,1227.0,50.0,58.11,25.35
2022,Dec,Rift Valley,Nakuru,Wakulima (Nakuru),vegetables and fruits,Tomatoes,64 KG,2400.0,64.0,58.11,25.35
2022,Dec,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,"Maize (white, dry)",90 KG,5532.0,90.0,58.11,25.35
2022,Dec,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,"Potatoes (Irish, red)",50 KG,1785.0,50.0,58.11,25.35
2022,Dec,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,"Potatoes (Irish, white)",50 KG,1943.0,50.0,58.11,25.35
2022,Dec,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Rice (aromatic),50 KG,9000.0,50.0,58.11,25.35
2022,Dec,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),vegetables and fruits,Cabbage,126 KG,2822.0,126.0,58.11,25.35
2022,Dec,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),vegetables and fruits,Kale,50 KG,1160.0,50.0,58.11,25.35
2022,Dec,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),vegetables and fruits,Onions (dry),13 KG,529.0,13.0,58.11,25.35
2022,Dec,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),vegetables and fruits,Tomatoes,64 KG,3811.0,64.0,58.11,25.35
2022,Dec,Rift Valley,West Pokot,Lomut (West Pokot),vegetables and fruits,Cabbage,126 KG,3034.0,126.0,58.11,25.35
2022,Dec,Rift Valley,West Pokot,Makutano (West Pokot),cereals and tubers,"Maize (white, dry)",90 KG,4680.0,90.0,58.11,25.35
2022,Dec,Rift Valley,West Pokot,Makutano (West Pokot),cereals and tubers,"Potatoes (Irish, white)",50 KG,1878.0,50.0,58.11,25.35
2022,Dec,Rift Valley,West Pokot,Makutano (West Pokot),pulses and nuts,Cowpeas,90 KG,9090.0,90.0,58.11,25.35
2022,Dec,Rift Valley,West Pokot,Makutano (West Pokot),vegetables and fruits,Cabbage,126 KG,1936.0,126.0,58.11,25.35
2022,Dec,Rift Valley,West Pokot,Makutano (West Pokot),vegetables and fruits,Kale,50 KG,1000.0,50.0,58.11,25.35
2022,Dec,Rift Valley,West Pokot,Makutano (West Pokot),vegetables and fruits,Onions (dry),13 KG,650.0,13.0,58.11,25.35
2022,Dec,Rift Valley,West Pokot,Makutano (West Pokot),vegetables and fruits,Tomatoes,64 KG,3029.0,64.0,58.11,25.35
2022,Sep,Central,Nyeri,Karatina (Nyeri),cereals and tubers,"Maize (white, dry)",90 KG,6201.0,90.0,58.11,25.35
2022,Sep,Central,Nyeri,Karatina (Nyeri),cereals and tubers,"Potatoes (Irish, red)",50 KG,1865.83,50.0,58.11,25.35
2022,Sep,Central,Nyeri,Karatina (Nyeri),pulses and nuts,Beans (dolichos),90 KG,11997.0,90.0,58.11,25.35
2022,Sep,Central,Nyeri,Karatina (Nyeri),pulses and nuts,Cowpeas,90 KG,9999.0,90.0,58.11,25.35
