county,crop,production_value,measurement_unit,year
Embu,Pearl Millet (Production Quantity),6195.5,Tonnes,2023
Kitui,Pearl Millet (Production Quantity),5110.755,Tonnes,2017
Meru,Pearl Millet (Production Quantity),7672.12,Tonnes,2023
Samburu,Pearl Millet (Production Quantity),10.0,Tonnes,2023
Tharaka-Nithi,Pearl Millet (Production Quantity),7608.0,Tonnes,2023
Busia,Cowpea (Production Quantity),0.0,Tonnes,2012
Busia,Cowpea (Production Quantity),0.0,Tonnes,2013
Busia,Cowpea (Production Quantity),0.0,Tonnes,2014
Busia,Cowpea (Production Quantity),386.0,Tonnes,2015
Busia,Cowpea (Production Quantity),644.0,Tonnes,2016
Busia,Cowpea (Production Quantity),542.8,Tonnes,2017
Busia,Cowpea (Production Quantity),548.0,Tonnes,2018
Busia,Cowpea (Production Quantity),820.0,Tonnes,2019
Busia,Cowpea (Production Quantity),807.0,Tonnes,2020
Busia,Cowpea (Production Quantity),751.0,Tonnes,2021
Busia,Finger Millet (Production Quantity),2617.9,Tonnes,2022
Busia,Finger Millet (Production Quantity),2700.6,Tonnes,2023
Busia,Green Grams (Production Quantity),67.95,Tonnes,2012
Busia,Green Grams (Production Quantity),110.0,Tonnes,2013
Busia,Green Grams (Production Quantity),302.0,Tonnes,2014
Busia,Green Grams (Production Quantity),348.0,Tonnes,2015
Busia,Green Grams (Production Quantity),233.0,Tonnes,2016
Elgeyo Marakwet,Cassava (Production Quantity),2079.0,Tonnes,2023
Kajiado,Cassava (Production Quantity),82.0,Tonnes,2023
Kajiado,Cassava (Production Quantity),0.0,Tonnes,2021
Laikipia,Cassava (Production Quantity),142.0,Tonnes,2022
Lamu,Cassava (Production Quantity),84999.0,Tonnes,2023
Mombasa,Cassava (Production Quantity),2376.0,Tonnes,2023
Samburu,Cassava (Production Quantity),10.0,Tonnes,2016
Tharaka-Nithi,Cassava (Production Quantity),1304.0,Tonnes,2023
Trans-Nzoia,Cassava (Production Quantity),452.0,Tonnes,2023
Uasin Gishu,Cassava (Production Quantity),290.0,Tonnes,2022
Vihiga,Cassava (Production Quantity),460.0,Tonnes,2023
Bungoma,Cassava (Production Quantity),2774.6,Tonnes,2023
Busia,Green Grams (Production Quantity),299.94,Tonnes,2017
Busia,Green Grams (Production Quantity),254.5,Tonnes,2018
Busia,Green Grams (Production Quantity),146.4,Tonnes,2019
Busia,Green Grams (Production Quantity),97.22,Tonnes,2020
Busia,Green Grams (Production Quantity),89.88,Tonnes,2021
Busia,Green Grams (Production Quantity),107.08,Tonnes,2022
Busia,Maize (Production Quantity),55057.5,Tonnes,2012
Busia,Maize (Production Quantity),63229.5,Tonnes,2013
Busia,Maize (Production Quantity),72661.68,Tonnes,2014
Busia,Maize (Production Quantity),86526.0,Tonnes,2015
Busia,Maize (Production Quantity),36631.0,Tonnes,2016
Busia,Maize (Production Quantity),51483.0,Tonnes,2017
Busia,Maize (Production Quantity),53629.0,Tonnes,2018
Busia,Maize (Production Quantity),67445.0,Tonnes,2019
Busia,Maize (Production Quantity),69449.5,Tonnes,2020
