year,month,region,county,market,category,commodity,unit,pricetype,price,avg_rainfall_mm,normalized_price,log_normalized_price
2014,1,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,38.44,259.33,38.44,3.6747805297344347
2014,1,Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,Wholesale,79.99,259.33,79.99,4.3943256902608985
2014,1,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,Wholesale,5738.0,259.33,63.76,4.170688128809434
2014,1,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,Retail,74.0,259.33,74.0,4.31748811353631
2014,1,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,Retail,53.36,259.33,53.36,3.995628589282943
2014,1,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,Retail,49.5,259.33,123.75,4.826311734631628
2014,1,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,3225.0,259.33,35.83,3.606312730456974
2014,1,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1635.55,259.33,32.71,3.5177945292459696
2014,1,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,Wholesale,3483.0,259.33,38.7,3.681351187693145
2014,1,Nairobi,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",500 ML,Retail,45.0,259.33,90.0,4.51085950651685
2014,1,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,Retail,226.25,259.33,226.25,5.426050733057588
2014,1,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,Retail,60.0,259.33,60.0,4.110873864173311
2014,1,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,35.07,259.33,35.07,3.5854614949154477
2014,1,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,Wholesale,3600.0,259.33,40.0,3.713572066704308
2014,1,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,Wholesale,3600.0,259.33,40.0,3.713572066704308
2014,1,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,Wholesale,85.17,259.33,85.17,4.4563220892516755
2014,1,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),90 KG,Wholesale,6800.0,259.33,75.56,4.338074747144699
2014,1,Rift Valley,Nakuru,Nakuru,cereals and tubers,Maize,KG,Wholesale,29.16,259.33,29.16,3.4065165431397553
2014,1,Rift Valley,Nakuru,Nakuru,pulses and nuts,Beans,KG,Wholesale,63.83,259.33,63.83,4.171768459186905
2014,1,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,Retail,84.0,259.33,84.0,4.442651256490317
2014,1,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,29.85,259.33,29.85,3.4291367503513968
2014,1,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),90 KG,Wholesale,2794.0,259.33,31.04,3.4669851222001586
2014,1,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1624.44,259.33,32.49,3.5112468868061133
2014,1,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,Wholesale,7200.0,259.33,80.0,4.394449154672439
2014,1,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,Wholesale,75.44,259.33,75.44,4.336506119372072
2014,2,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,35.06,201.62,35.06,3.585184217775171
2014,2,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,Wholesale,5947.0,201.62,66.08,4.205885936955008
2014,2,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),KG,Retail,35.0,201.62,35.0,3.58351893845611
2014,2,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,Retail,78.75,201.62,78.75,4.378896741664954
2014,2,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,Retail,50.96,201.62,50.96,3.9504741918023987
2014,2,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,Retail,48.33,201.62,120.82,4.802544545408338
2014,2,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,33.05,201.62,33.05,3.527830032595521
2014,2,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,3235.0,201.62,35.94,3.609294974771094
2014,2,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1683.88,201.62,33.68,3.546163151912341
2014,2,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,Retail,226.25,201.62,226.25,5.426050733057588
2014,2,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,Wholesale,68.41,201.62,68.41,4.2400309493514925
2014,2,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans (dry),90 KG,Wholesale,6147.0,201.62,68.3,4.238444906195857
2014,2,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,35.06,201.62,35.06,3.585184217775171
2014,2,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,Wholesale,3600.0,201.62,40.0,3.713572066704308
2014,2,Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1944.43,201.62,38.89,3.686125665917315
2014,2,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,Wholesale,3748.0,201.62,41.64,3.752792779857589
2014,2,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),90 KG,Wholesale,7200.0,201.62,80.0,4.394449154672439
2014,2,Rift Valley,Nakuru,Nakuru,cereals and tubers,Maize,KG,Wholesale,28.86,201.62,28.86,3.3965197921110444
2014,2,Rift Valley,Nakuru,Nakuru,pulses and nuts,Beans,KG,Wholesale,65.11,201.62,65.11,4.191320021345486
2014,2,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,Retail,78.05,201.62,78.05,4.370080563655481
