province,district,market,latitude,longitude,commodity,unit,priceflag,price,year,month,milk and dairy,pulses and nuts,non-food,"meat, fish and eggs",#item+type,vegetables and fruits,oil and fats,cereals and tubers,miscellaneous food
"#adm1+name",#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+name,#item+unit,#item+price+flag,#value,,,0,0,0,0,1,0,0,0,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,KG,actual,16.13,2006,1,0,0,0,0,0,0,0,1,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Maize (white),90 KG,actual,1480.0,2006,1,0,0,0,0,0,0,0,1,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,KG,actual,33.63,2006,1,0,1,0,0,0,0,0,0,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Beans (dry),90 KG,actual,3246.0,2006,1,0,1,0,0,0,0,0,0,0
Eastern,Kitui,Kitui,-1.366667,38.016667,Maize (white),KG,actual,17.0,2006,1,0,0,0,0,0,0,0,1,0
Eastern,Kitui,Kitui,-1.366667,38.016667,Potatoes (Irish),50 KG,actual,1249.99,2006,1,0,0,0,0,0,0,0,1,0
Eastern,Kitui,Kitui,-1.366667,38.016667,Sorghum,90 KG,actual,1800.0,2006,1,0,0,0,0,0,0,0,1,0
Eastern,Kitui,Kitui,-1.366667,38.016667,Beans (dry),KG,actual,39.0,2006,1,0,1,0,0,0,0,0,0,0
Eastern,Marsabit,Marsabit,2.333333,37.983333,Maize (white),KG,actual,21.0,2006,1,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Bread,400 G,actual,26.0,2006,1,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,KG,actual,15.48,2006,1,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize (white),90 KG,actual,1399.0,2006,1,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Potatoes (Irish),50 KG,actual,664.43,2006,1,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Sorghum,90 KG,actual,1960.0,2006,1,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,"Milk (cow, pasteurized)",500 ML,actual,22.0,2006,1,1,0,0,0,0,0,0,0,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Oil (vegetable),L,actual,115.0,2006,1,0,0,0,0,0,0,1,0,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,KG,actual,42.31,2006,1,0,1,0,0,0,0,0,0,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans (dry),90 KG,actual,3175.0,2006,1,0,1,0,0,0,0,0,0,0
North Eastern,Mandera,Mandera,3.936804,41.858383,Maize (white),KG,actual,30.0,2006,1,0,0,0,0,0,0,0,1,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,KG,actual,14.84,2006,1,0,0,0,0,0,0,0,1,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize (white),90 KG,actual,1320.0,2006,1,0,0,0,0,0,0,0,1,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans (dry),90 KG,actual,4000.0,2006,1,0,1,0,0,0,0,0,0,0
Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,Maize (white),KG,actual,26.0,2006,1,0,0,0,0,0,0,0,1,0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize,KG,actual,12.96,2006,1,0,0,0,0,0,0,0,1,0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize (white),90 KG,actual,1192.0,2006,1,0,0,0,0,0,0,0,1,0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,KG,actual,45.85,2006,1,0,1,0,0,0,0,0,0,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,KG,actual,16.41,2006,2,0,0,0,0,0,0,0,1,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Maize (white),90 KG,actual,1523.0,2006,2,0,0,0,0,0,0,0,1,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Beans (dry),90 KG,actual,3400.0,2006,2,0,1,0,0,0,0,0,0,0
Eastern,Kitui,Kitui,-1.366667,38.016667,Maize (white),KG,actual,18.0,2006,2,0,0,0,0,0,0,0,1,0
Eastern,Kitui,Kitui,-1.366667,38.016667,Potatoes (Irish),50 KG,actual,1555.55,2006,2,0,0,0,0,0,0,0,1,0
Eastern,Kitui,Kitui,-1.366667,38.016667,Sorghum,90 KG,actual,2000.0,2006,2,0,0,0,0,0,0,0,1,0
Eastern,Kitui,Kitui,-1.366667,38.016667,Beans (dry),KG,actual,42.0,2006,2,0,1,0,0,0,0,0,0,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,KG,actual,16.41,2006,2,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize (white),90 KG,actual,1488.0,2006,2,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,KG,actual,47.1,2006,2,0,1,0,0,0,0,0,0,0
North Eastern,Mandera,Mandera,3.936804,41.858383,Maize (white),KG,actual,29.0,2006,2,0,0,0,0,0,0,0,1,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,KG,actual,17.83,2006,2,0,0,0,0,0,0,0,1,0
