year,month,commodity,category,normalized_price
2018,2,Beans,pulses and nuts,61.3
2019,1,Beans,pulses and nuts,52.32
2018,12,Beans,pulses and nuts,56.41
2014,8,Beans,pulses and nuts,52.14
2018,12,Beans,pulses and nuts,49.86
2015,4,Beans,pulses and nuts,86.17
2021,6,Beans,pulses and nuts,65.81
2018,12,Beans,pulses and nuts,62.38
2018,12,Beans,pulses and nuts,55.5
2017,6,Beans,pulses and nuts,62.2
2015,4,Beans,pulses and nuts,64.69
2014,8,Beans,pulses and nuts,69.34
2017,6,Beans,pulses and nuts,75.19
2017,7,Beans,pulses and nuts,86.19
2018,11,Beans,pulses and nuts,49.94
2017,7,Beans,pulses and nuts,72.7
2015,4,Beans,pulses and nuts,80.5
2018,11,Beans,pulses and nuts,62.46
2017,7,Beans,pulses and nuts,61.99
2017,7,Beans,pulses and nuts,78.01
2018,11,Beans,pulses and nuts,46.9
2014,9,Beans,pulses and nuts,90.2
2017,8,Beans,pulses and nuts,87.76
2018,10,Beans,pulses and nuts,58.02
2014,9,Beans,pulses and nuts,66.64
2018,10,Beans,pulses and nuts,52.54
2017,8,Beans,pulses and nuts,70.85
2014,9,Beans,pulses and nuts,76.93
2019,1,Beans,pulses and nuts,52.15
2015,5,Beans,pulses and nuts,89.18
2017,5,Beans,pulses and nuts,110.39
2019,1,Beans,pulses and nuts,63.32
2014,6,Beans,pulses and nuts,87.88
2017,1,Beans,pulses and nuts,59.14
2017,1,Beans,pulses and nuts,80.66
2014,6,Beans,pulses and nuts,63.31
2019,4,Beans,pulses and nuts,65.81
2017,2,Beans,pulses and nuts,84.9
2019,4,Beans,pulses and nuts,50.67
2014,6,Beans,pulses and nuts,85.67
2017,2,Beans,pulses and nuts,64.36
2015,6,Beans,pulses and nuts,63.73
2019,3,Beans,pulses and nuts,60.73
2017,2,Beans,pulses and nuts,82.23
2017,3,Beans,pulses and nuts,100.03
2018,10,Beans,pulses and nuts,59.45
2015,6,Beans,pulses and nuts,78.33
2017,3,Beans,pulses and nuts,89.9
2014,7,Beans,pulses and nuts,48.81
2019,3,Beans,pulses and nuts,52.21
2019,2,Beans,pulses and nuts,60.43
2017,3,Beans,pulses and nuts,87.42
2014,7,Beans,pulses and nuts,90.09
2017,4,Beans,pulses and nuts,90.0
2019,2,Beans,pulses and nuts,49.11
2015,5,Beans,pulses and nuts,99.42
2014,7,Beans,pulses and nuts,69.71
2017,4,Beans,pulses and nuts,70.1
2015,5,Beans,pulses and nuts,65.94
2017,4,Beans,pulses and nuts,92.53
2018,3,Beans,pulses and nuts,63.99
2021,7,Beans,pulses and nuts,65.65
2014,10,Beans,pulses and nuts,62.62
2017,8,Beans,pulses and nuts,61.41
2018,7,Beans,pulses and nuts,44.89
2017,11,Beans,pulses and nuts,61.14
2014,11,Beans,pulses and nuts,75.97
2018,6,Beans,pulses and nuts,52.02
2015,2,Beans,pulses and nuts,75.58
2017,12,Beans,pulses and nuts,82.23
2018,6,Beans,pulses and nuts,58.0
2018,6,Beans,pulses and nuts,54.71
2014,11,Beans,pulses and nuts,70.27
2017,12,Beans,pulses and nuts,70.04
2021,10,Beans,pulses and nuts,64.79
2014,12,Beans,pulses and nuts,60.5
2017,12,Beans,pulses and nuts,66.05
2017,11,Beans,pulses and nuts,70.23
2018,6,Beans,pulses and nuts,51.38
2018,5,Beans,pulses and nuts,53.88
2018,1,Beans,pulses and nuts,81.27
2018,5,Beans,pulses and nuts,66.23
2018,1,Beans,pulses and nuts,70.81
2014,12,Beans,pulses and nuts,53.31
2018,5,Beans,pulses and nuts,59.21
2018,2,Beans,pulses and nuts,71.47
2018,4,Beans,pulses and nuts,73.7
2015,1,Beans,pulses and nuts,75.31
2015,1,Beans,pulses and nuts,58.26
2018,4,Beans,pulses and nuts,67.62
2018,4,Beans,pulses and nuts,64.17
2018,3,Beans,pulses and nuts,78.24
2018,1,Beans,pulses and nuts,76.38
2017,1,Beans,pulses and nuts,72.8
2014,11,Beans,pulses and nuts,55.3
2015,2,Beans,pulses and nuts,54.44
2018,10,Beans,pulses and nuts,56.01
2015,3,Beans,pulses and nuts,58.78
2018,10,Beans,pulses and nuts,42.09
2017,8,Beans,pulses and nuts,82.51
2017,9,Beans,pulses and nuts,90.05
2018,9,Beans,pulses and nuts,45.04
2014,10,Beans,pulses and nuts,55.07
2015,3,Beans,pulses and nuts,75.81
2017,9,Beans,pulses and nuts,63.33
2018,9,Beans,pulses and nuts,60.06
2018,9,Beans,pulses and nuts,54.61
2014,10,Beans,pulses and nuts,84.29
2021,8,Beans,pulses and nuts,60.93
2018,7,Beans,pulses and nuts,53.52
2017,9,Beans,pulses and nuts,84.97
2018,8,Beans,pulses and nuts,57.4
2015,3,Beans,pulses and nuts,72.9
2017,10,Beans,pulses and nuts,84.44
2014,10,Beans,pulses and nuts,73.03
2017,10,Beans,pulses and nuts,77.5
2018,8,Beans,pulses and nuts,50.11
2017,10,Beans,pulses and nuts,62.35
2018,8,Beans,pulses and nuts,41.95
2021,9,Beans,pulses and nuts,60.05
2015,2,Beans,pulses and nuts,74.02
2017,11,Beans,pulses and nuts,82.65
2018,7,Beans,pulses and nuts,63.2
2018,7,Beans,pulses and nuts,55.47
2014,10,Beans,pulses and nuts,60.1
2015,7,Beans,pulses and nuts,60.52
2019,3,Beans,pulses and nuts,41.73
2015,1,Beans,pulses and nuts,60.25
2015,9,Beans,pulses and nuts,59.4
2016,9,Beans,pulses and nuts,63.45
2016,3,Beans,pulses and nuts,59.83
2016,3,Beans,pulses and nuts,69.91
2014,1,Beans,pulses and nuts,75.44
2019,9,Beans,pulses and nuts,57.64
2016,9,Beans,pulses and nuts,69.31
2020,4,Beans,pulses and nuts,78.41
2016,9,Beans,pulses and nuts,46.61
2016,8,Beans,pulses and nuts,45.94
2016,9,Beans,pulses and nuts,50.88
2014,1,Beans,pulses and nuts,63.83
2015,8,Beans,pulses and nuts,65.65
2016,5,Beans,pulses and nuts,70.58
2016,10,Beans,pulses and nuts,59.99
2015,8,Beans,pulses and nuts,49.45
2014,4,Beans,pulses and nuts,85.2
2015,12,Beans,pulses and nuts,71.04
2014,1,Beans,pulses and nuts,85.17
2014,4,Beans,pulses and nuts,72.61
2014,4,Beans,pulses and nuts,67.07
2016,10,Beans,pulses and nuts,46.59
2014,3,Beans,pulses and nuts,66.0
2021,1,Beans,pulses and nuts,59.68
2015,11,Beans,pulses and nuts,71.58
2016,5,Beans,pulses and nuts,50.87
2016,5,Beans,pulses and nuts,70.82
2016,6,Beans,pulses and nuts,59.76
2014,2,Beans,pulses and nuts,75.27
2014,3,Beans,pulses and nuts,83.67
2016,6,Beans,pulses and nuts,51.52
2016,6,Beans,pulses and nuts,67.06
2014,2,Beans,pulses and nuts,68.41
2016,4,Beans,pulses and nuts,55.36
2016,7,Beans,pulses and nuts,55.9
2016,7,Beans,pulses and nuts,64.97
2016,5,Beans,pulses and nuts,55.73
2016,7,Beans,pulses and nuts,59.84
2016,8,Beans,pulses and nuts,55.92
2014,3,Beans,pulses and nuts,68.62
2019,5,Beans,pulses and nuts,59.1
2016,8,Beans,pulses and nuts,64.91
2015,12,Beans,pulses and nuts,59.22
2016,4,Beans,pulses and nuts,72.48
2015,11,Beans,pulses and nuts,66.78
2016,3,Beans,pulses and nuts,50.16
2019,8,Beans,pulses and nuts,64.84
2019,7,Beans,pulses and nuts,64.94
2019,7,Beans,pulses and nuts,85.0
2019,7,Beans,pulses and nuts,75.58
2014,5,Beans,pulses and nuts,68.89
2016,11,Beans,pulses and nuts,62.73
2015,7,Beans,pulses and nuts,71.06
2021,3,Beans,pulses and nuts,60.16
2014,5,Beans,pulses and nuts,84.88
2019,6,Beans,pulses and nuts,78.18
2016,12,Beans,pulses and nuts,62.1
2014,5,Beans,pulses and nuts,94.22
2015,7,Beans,pulses and nuts,56.39
2019,6,Beans,pulses and nuts,70.12
2016,1,Beans,pulses and nuts,69.52
2016,12,Beans,pulses and nuts,59.62
2016,12,Beans,pulses and nuts,69.7
2017,1,Beans,pulses and nuts,81.29
2015,7,Beans,pulses and nuts,62.82
2019,5,Beans,pulses and nuts,77.95
2014,1,Beans,pulses and nuts,79.99
2016,11,Beans,pulses and nuts,51.31
2016,1,Beans,pulses and nuts,58.28
2014,2,Beans,pulses and nuts,65.11
2016,2,Beans,pulses and nuts,53.08
2019,8,Beans,pulses and nuts,84.8
2015,8,Beans,pulses and nuts,60.5
2014,4,Beans,pulses and nuts,91.2
2019,7,Beans,pulses and nuts,79.95
2015,12,Beans,pulses and nuts,70.03
2014,5,Beans,pulses and nuts,78.98
2016,11,Beans,pulses and nuts,62.06
2022,2,Beans (dolichos),pulses and nuts,135.0
2023,5,Beans (dolichos),pulses and nuts,180.32
2024,4,Beans (dolichos),pulses and nuts,169.84
2021,12,Beans (dolichos),pulses and nuts,100.0
2023,7,Beans (dolichos),pulses and nuts,123.33
2024,6,Beans (dolichos),pulses and nuts,106.67
2024,5,Beans (dolichos),pulses and nuts,162.22
2023,5,Beans (dolichos),pulses and nuts,161.1
2024,6,Beans (dolichos),pulses and nuts,170.0
2022,3,Beans (dolichos),pulses and nuts,80.0
2024,1,Beans (dolichos),pulses and nuts,169.27
2023,7,Beans (dolichos),pulses and nuts,172.5
2023,5,Beans (dolichos),pulses and nuts,163.74
2021,11,Beans (dolichos),pulses and nuts,71.67
2022,1,Beans (dolichos),pulses and nuts,60.0
2023,5,Beans (dolichos),pulses and nuts,167.0
2023,7,Beans (dolichos),pulses and nuts,181.4
2023,6,Beans (dolichos),pulses and nuts,140.0
2024,5,Beans (dolichos),pulses and nuts,106.67
2021,12,Beans (dolichos),pulses and nuts,126.67
2024,5,Beans (dolichos),pulses and nuts,170.0
2022,2,Beans (dolichos),pulses and nuts,91.38
2021,12,Beans (dolichos),pulses and nuts,65.1
2022,1,Beans (dolichos),pulses and nuts,88.9
2022,2,Beans (dolichos),pulses and nuts,66.7
2023,7,Beans (dolichos),pulses and nuts,159.76
2023,7,Beans (dolichos),pulses and nuts,178.76
2024,3,Beans (dolichos),pulses and nuts,172.78
2022,1,Beans (dolichos),pulses and nuts,80.0
2022,2,Beans (dolichos),pulses and nuts,90.0
2023,10,Beans (dolichos),pulses and nuts,150.0
2021,12,Beans (dolichos),pulses and nuts,90.0
2021,12,Beans (dolichos),pulses and nuts,133.3
2022,2,Beans (dolichos),pulses and nuts,65.68
2024,6,Beans (dolichos),pulses and nuts,16.67
2023,12,Beans (dolichos),pulses and nuts,180.0
2022,1,Beans (dolichos),pulses and nuts,134.68
2022,1,Beans (dolichos),pulses and nuts,91.67
2022,10,Beans (dolichos),pulses and nuts,129.58
2024,7,Beans (dolichos),pulses and nuts,116.02
2022,6,Beans (dolichos),pulses and nuts,140.0
2022,11,Beans (dolichos),pulses and nuts,145.0
2022,7,Beans (dolichos),pulses and nuts,190.0
2022,7,Beans (dolichos),pulses and nuts,113.53
2022,7,Beans (dolichos),pulses and nuts,123.08
2022,11,Beans (dolichos),pulses and nuts,175.0
2022,11,Beans (dolichos),pulses and nuts,140.93
2022,7,Beans (dolichos),pulses and nuts,131.1
2022,11,Beans (dolichos),pulses and nuts,142.2
2022,11,Beans (dolichos),pulses and nuts,137.19
2022,7,Beans (dolichos),pulses and nuts,118.9
2022,11,Beans (dolichos),pulses and nuts,118.0
2022,6,Beans (dolichos),pulses and nuts,150.0
2022,7,Beans (dolichos),pulses and nuts,75.0
2022,11,Beans (dolichos),pulses and nuts,138.9
2022,8,Beans (dolichos),pulses and nuts,103.25
2022,9,Beans (dolichos),pulses and nuts,133.3
2022,10,Beans (dolichos),pulses and nuts,140.0
2022,10,Beans (dolichos),pulses and nuts,124.4
2022,9,Beans (dolichos),pulses and nuts,124.87
2022,9,Beans (dolichos),pulses and nuts,118.88
2022,9,Beans (dolichos),pulses and nuts,130.0
2022,10,Beans (dolichos),pulses and nuts,144.0
2022,9,Beans (dolichos),pulses and nuts,132.5
2022,10,Beans (dolichos),pulses and nuts,110.0
2022,10,Beans (dolichos),pulses and nuts,133.98
2022,8,Beans (dolichos),pulses and nuts,105.17
2022,3,Beans (dolichos),pulses and nuts,77.65
2022,6,Beans (dolichos),pulses and nuts,107.0
2022,12,Beans (dolichos),pulses and nuts,146.26
2024,8,Beans (dolichos),pulses and nuts,50.0
2023,4,Beans (dolichos),pulses and nuts,165.0
2023,4,Beans (dolichos),pulses and nuts,161.1
2022,3,Beans (dolichos),pulses and nuts,75.0
2023,4,Beans (dolichos),pulses and nuts,165.89
2022,4,Beans (dolichos),pulses and nuts,69.89
2022,4,Beans (dolichos),pulses and nuts,133.3
2023,3,Beans (dolichos),pulses and nuts,155.89
2023,3,Beans (dolichos),pulses and nuts,165.0
2022,4,Beans (dolichos),pulses and nuts,79.08
2022,4,Beans (dolichos),pulses and nuts,137.5
2023,2,Beans (dolichos),pulses and nuts,153.73
2022,6,Beans (dolichos),pulses and nuts,96.27
2023,2,Beans (dolichos),pulses and nuts,160.0
2022,5,Beans (dolichos),pulses and nuts,72.68
2022,5,Beans (dolichos),pulses and nuts,87.5
2023,1,Beans (dolichos),pulses and nuts,156.32
2022,5,Beans (dolichos),pulses and nuts,98.0
2023,1,Beans (dolichos),pulses and nuts,151.4
2023,1,Beans (dolichos),pulses and nuts,143.56
2022,5,Beans (dolichos),pulses and nuts,163.44
2023,1,Beans (dolichos),pulses and nuts,155.0
2022,6,Beans (dolichos),pulses and nuts,111.1
2023,1,Beans (dolichos),pulses and nuts,161.1
2022,6,Beans (dolichos),pulses and nuts,85.0
2022,12,Beans (dolichos),pulses and nuts,155.1
2022,5,Beans (dolichos),pulses and nuts,80.0
2023,2,Beans (dolichos),pulses and nuts,147.72
2022,8,Beans (dolichos),pulses and nuts,130.64
2021,4,Beans (dolichos),pulses and nuts,74.4
2021,6,Beans (dolichos),pulses and nuts,66.7
2021,6,Beans (dolichos),pulses and nuts,68.9
2021,6,Beans (dolichos),pulses and nuts,100.0
2021,6,Beans (dolichos),pulses and nuts,37.07
2021,6,Beans (dolichos),pulses and nuts,97.0
2021,6,Beans (dolichos),pulses and nuts,78.08
2021,6,Beans (dolichos),pulses and nuts,110.0
2021,7,Beans (dolichos),pulses and nuts,66.7
2021,5,Beans (dolichos),pulses and nuts,77.8
2021,7,Beans (dolichos),pulses and nuts,80.0
2021,7,Beans (dolichos),pulses and nuts,93.33
2021,7,Beans (dolichos),pulses and nuts,85.0
2021,7,Beans (dolichos),pulses and nuts,121.47
2021,7,Beans (dolichos),pulses and nuts,100.0
2021,7,Beans (dolichos),pulses and nuts,77.8
2021,7,Beans (dolichos),pulses and nuts,140.83
2021,9,Beans (dolichos),pulses and nuts,100.0
2021,9,Beans (dolichos),pulses and nuts,137.5
2021,7,Beans (dolichos),pulses and nuts,94.4
2021,9,Beans (dolichos),pulses and nuts,150.0
2021,5,Beans (dolichos),pulses and nuts,90.0
2021,4,Beans (dolichos),pulses and nuts,175.0
2021,1,Beans (dolichos),pulses and nuts,90.0
2021,1,Beans (dolichos),pulses and nuts,92.5
2021,1,Beans (dolichos),pulses and nuts,100.0
2021,1,Beans (dolichos),pulses and nuts,84.5
2021,2,Beans (dolichos),pulses and nuts,66.7
2021,2,Beans (dolichos),pulses and nuts,50.0
2021,2,Beans (dolichos),pulses and nuts,120.0
2021,2,Beans (dolichos),pulses and nuts,96.69
2021,5,Beans (dolichos),pulses and nuts,100.0
2021,2,Beans (dolichos),pulses and nuts,100.0
2021,2,Beans (dolichos),pulses and nuts,150.0
2021,3,Beans (dolichos),pulses and nuts,66.7
2021,3,Beans (dolichos),pulses and nuts,100.0
2021,3,Beans (dolichos),pulses and nuts,74.88
2021,4,Beans (dolichos),pulses and nuts,72.0
2021,4,Beans (dolichos),pulses and nuts,90.0
2021,4,Beans (dolichos),pulses and nuts,111.1
2021,4,Beans (dolichos),pulses and nuts,97.5
2021,2,Beans (dolichos),pulses and nuts,75.46
2021,10,Beans (dolichos),pulses and nuts,92.2
2024,1,Beans (dolichos),pulses and nuts,180.0
2021,11,Beans (dolichos),pulses and nuts,100.0
2021,11,Beans (dolichos),pulses and nuts,64.05
2021,11,Beans (dolichos),pulses and nuts,105.57
2021,10,Beans (dolichos),pulses and nuts,130.0
2018,6,Beans (dry),pulses and nuts,108.0
2016,8,Beans (dry),pulses and nuts,85.0
2016,9,Beans (dry),pulses and nuts,88.0
2019,10,Beans (dry),pulses and nuts,86.67
2016,9,Beans (dry),pulses and nuts,69.29
2016,9,Beans (dry),pulses and nuts,73.0
2019,10,Beans (dry),pulses and nuts,107.9
2018,3,Beans (dry),pulses and nuts,82.0
2019,9,Beans (dry),pulses and nuts,70.0
2019,9,Beans (dry),pulses and nuts,113.0
2018,3,Beans (dry),pulses and nuts,62.29
2016,9,Beans (dry),pulses and nuts,87.0
2018,3,Beans (dry),pulses and nuts,104.52
2016,8,Beans (dry),pulses and nuts,56.0
2019,10,Beans (dry),pulses and nuts,87.4
2019,10,Beans (dry),pulses and nuts,113.24
2018,4,Beans (dry),pulses and nuts,97.78
2016,7,Beans (dry),pulses and nuts,69.25
2019,11,Beans (dry),pulses and nuts,92.3
2016,7,Beans (dry),pulses and nuts,82.22
2016,7,Beans (dry),pulses and nuts,103.0
2016,7,Beans (dry),pulses and nuts,56.94
2019,11,Beans (dry),pulses and nuts,113.2
2016,7,Beans (dry),pulses and nuts,88.75
2016,8,Beans (dry),pulses and nuts,88.0
2019,10,Beans (dry),pulses and nuts,67.11
2016,8,Beans (dry),pulses and nuts,78.0
2019,10,Beans (dry),pulses and nuts,92.0
2016,8,Beans (dry),pulses and nuts,69.75
2019,10,Beans (dry),pulses and nuts,109.0
2018,3,Beans (dry),pulses and nuts,81.0
2016,8,Beans (dry),pulses and nuts,80.0
2018,4,Beans (dry),pulses and nuts,63.61
2016,9,Beans (dry),pulses and nuts,55.56
2019,9,Beans (dry),pulses and nuts,102.1
2020,12,Beans (dry),pulses and nuts,114.0
2018,2,Beans (dry),pulses and nuts,111.0
2019,8,Beans (dry),pulses and nuts,115.0
2019,7,Beans (dry),pulses and nuts,100.0
2016,11,Beans (dry),pulses and nuts,65.92
2019,7,Beans (dry),pulses and nuts,139.2
2019,7,Beans (dry),pulses and nuts,108.44
2018,2,Beans (dry),pulses and nuts,84.44
