county,market,region
Baringo,Marigat (Baringo),Rift Valley
Baringo,Marigat town (Baringo),Rift Valley
Garissa,Dagahaley (Daadab),North Eastern
Garissa,Garissa,North Eastern
Garissa,Dadaab town,North Eastern
Garissa,Hagadera (Daadab),North Eastern
Garissa,IFO (Daadab),North Eastern
Garissa,Garissa town (Garissa),North Eastern
Isiolo,Isiolo town,Eastern
Kajiado,Illbissil Food Market (Kajiado),Rift Valley
Kajiado,Kajiado,Rift Valley
Kilifi,Kilifi,Coast
Kisumu,Kibuye (Kisumu),Nyanza
Kisumu,Kisumu,Nyanza
Kitui,Kitui town (Kitui),Eastern
Kitui,Kitui,Eastern
Kwale,Vanga (Kwale),Coast
Machakos,Tala Centre Market (Machakos),Eastern
Makueni,Kathonzweni (Makueni),Eastern
Makueni,Makueni,Eastern
Makueni,Wote town (Makueni),Eastern
Mandera,Takaba (Mandera),North Eastern
Mandera,Mandera,North Eastern
Marsabit,Marsabit,Eastern
Marsabit,Marsabit town,Eastern
Meru South,Kaanwa (Tharaka Nithi),Eastern
Mombasa,Mombasa,Coast
Mombasa,Moroto (Mombasa),Coast
Mombasa,Junda (Mombasa),Coast
Mombasa,Kisumu Ndogo (Mombasa),Coast
Mombasa,Kongowea (Mombasa),Coast
Mombasa,Bangladesh (Mombasa),Coast
Mombasa,Kalahari (Mombasa),Coast
Mombasa,Shonda (Mombasa),Coast
Nairobi,Nairobi,Nairobi
Nairobi,Dandora (Nairobi),Nairobi
Nairobi,Mukuru (Nairobi),Nairobi
Nairobi,Mathare (Nairobi),Nairobi
Nairobi,Kangemi (Nairobi),Nairobi
Nairobi,Kawangware (Nairobi),Nairobi
Nairobi,Wakulima (Nairobi),Nairobi
Nairobi,Kitengela (Kajiado),Nairobi
Nairobi,Kibra (Nairobi),Nairobi
Nakuru,Wakulima (Nakuru),Rift Valley
Nakuru,Nakuru,Rift Valley
Nyeri,Karatina (Nyeri),Central
Turkana,Mogadishu (Kakuma),Rift Valley
Turkana,Lodwar town,Rift Valley
Turkana,Kakuma 4,Rift Valley
Turkana,Kakuma 3,Rift Valley
Turkana,HongKong (Kakuma),Rift Valley
Turkana,Ethiopia (Kakuma),Rift Valley
Turkana,Lodwar (Turkana),Rift Valley
Turkana,Kalobeyei (Village 3),Rift Valley
Turkana,Kalobeyei (Village 1),Rift Valley
Turkana,Kakuma 2,Rift Valley
Turkana,Kalobeyei (Village 2),Rift Valley
Uasin Gishu,Eldoret town (Uasin Gishu),Rift Valley
Wajir,Wajir town,North Eastern
West Pokot,Lomut (West Pokot),Rift Valley
West Pokot,Makutano (West Pokot),Rift Valley
