date,rainfall_mm
1/1/1981,
1/11/1981,
1/21/1981,
2/1/1981,
2/11/1981,
2/21/1981,
3/1/1981,
3/11/1981,
3/21/1981,266.3542
4/1/1981,360.75
4/11/1981,542.5
4/21/1981,608.1042
5/1/1981,767.2083
5/11/1981,857.5625
5/21/1981,873.9583
6/1/1981,872.7083
6/11/1981,800.3125
6/21/1981,673.2917
7/1/1981,578.6667
7/11/1981,419.1667
7/21/1981,377.4167
8/1/1981,247.8333
8/11/1981,158.125
8/21/1981,151.4583
9/1/1981,148.125
9/11/1981,155.8333
9/21/1981,164.8958
10/1/1981,185.7292
10/11/1981,194.6875
10/21/1981,251.3542
11/1/1981,249.0833
11/11/1981,286.25
11/21/1981,301.1875
12/1/1981,318.3125
12/11/1981,321.9792
12/21/1981,320.1458
1/1/1982,297.875
1/11/1982,277.3333
1/21/1982,197.5417
2/1/1982,169.9583
2/11/1982,127.3958
2/21/1982,104.1042
3/1/1982,91.2917
3/11/1982,82.9583
3/21/1982,113.25
4/1/1982,156.8542
4/11/1982,228.0208
4/21/1982,354.0208
5/1/1982,416.5833
5/11/1982,549.4375
5/21/1982,606.9375
6/1/1982,601.9583
6/11/1982,604.1042
6/21/1982,570.6667
7/1/1982,546.7708
7/11/1982,472.0417
7/21/1982,354.9583
8/1/1982,302.7083
8/11/1982,176.7292
8/21/1982,130.6667
9/1/1982,140.125
9/11/1982,157.3333
9/21/1982,149.7083
10/1/1982,143.5417
10/11/1982,333.3125
10/21/1982,389.3125
11/1/1982,415.2083
11/11/1982,465.6875
11/21/1982,547.2917
12/1/1982,574.75
12/11/1982,559.7083
12/21/1982,565.1875
1/1/1983,554.5833
1/11/1983,360
1/21/1983,297.8333
2/1/1983,262.1458
2/11/1983,227.75
2/21/1983,134.6042
3/1/1983,94.4375
3/11/1983,88.4583
3/21/1983,84.4375
4/1/1983,107.25
4/11/1983,176.375
4/21/1983,434.1458
5/1/1983,503.4167
5/11/1983,531.4375
5/21/1983,603.0833
6/1/1983,611.4792
6/11/1983,618.1875
6/21/1983,617.9167
7/1/1983,601.625
7/11/1983,538.7292
7/21/1983,291.4167
8/1/1983,226.3958
8/11/1983,179.4375
8/21/1983,116.375
9/1/1983,123.9792
9/11/1983,121.5208
9/21/1983,111.6458
10/1/1983,145
10/11/1983,153.375
10/21/1983,173.6458
11/1/1983,238
11/11/1983,259.3125
11/21/1983,282.5625
12/1/1983,293.3542
12/11/1983,292.9375
12/21/1983,360.2708
1/1/1984,324.2083
1/11/1984,308.9167
1/21/1984,275.0833
2/1/1984,204.7917
2/11/1984,176.3542
2/21/1984,144.1875
3/1/1984,120.6875
3/11/1984,120.0417
3/21/1984,59.8958
4/1/1984,88.5625
4/11/1984,137.6667
4/21/1984,243.0208
5/1/1984,258.6875
5/11/1984,280.1667
5/21/1984,287.5833
6/1/1984,286.9167
6/11/1984,285.5
6/21/1984,280.3125
7/1/1984,253.2292
7/11/1984,212.1042
7/21/1984,121.4583
8/1/1984,117.6042
8/11/1984,100.5417
8/21/1984,96.6667
9/1/1984,110.7083
9/11/1984,123.7083
9/21/1984,120
10/1/1984,205.9792
10/11/1984,236.0833
10/21/1984,320.0625
11/1/1984,387.875
11/11/1984,466.4167
11/21/1984,510.8542
12/1/1984,512.8542
12/11/1984,532.1875
12/21/1984,533.7083
1/1/1985,438.1667
1/11/1985,399.0417
1/21/1985,308.5
2/1/1985,263.0208
2/11/1985,182.8125
2/21/1985,140.5417
3/1/1985,127.0833
3/11/1985,99.1875
3/21/1985,245.4583
4/1/1985,330.2917
4/11/1985,480.1667
4/21/1985,568.375
5/1/1985,635.0833
5/11/1985,711.25
5/21/1985,741.7708
6/1/1985,738.4792
6/11/1985,739.3125
6/21/1985,602.0417
7/1/1985,538.2292
7/11/1985,399.1667
7/21/1985,312.1458
8/1/1985,223.5625
8/11/1985,155.25
8/21/1985,135.1667
9/1/1985,141.9583
9/11/1985,137.2708
9/21/1985,136.375
10/1/1985,133.6667
10/11/1985,143.2083
10/21/1985,189.5208
11/1/1985,285.0417
11/11/1985,307.75
11/21/1985,336.8333
12/1/1985,344.5
12/11/1985,345
12/21/1985,338.7083
1/1/1986,321.5
1/11/1986,301.4375
1/21/1986,245.6458
2/1/1986,138.8333
2/11/1986,107.3333
2/21/1986,60.4167
3/1/1986,85.0833
3/11/1986,83.375
3/21/1986,96.0417
4/1/1986,179.7708
4/11/1986,258.9375
4/21/1986,441.6042
5/1/1986,545.3542
5/11/1986,569.5208
5/21/1986,636.2292
6/1/1986,597.6458
6/11/1986,628.0208
6/21/1986,616.625
7/1/1986,538.1458
7/11/1986,465.875
7/21/1986,285.7708
8/1/1986,186.8125
8/11/1986,169.1875
8/21/1986,113.5833
9/1/1986,122.125
9/11/1986,96.5625
9/21/1986,91.6458
10/1/1986,108.1042
10/11/1986,115.5
10/21/1986,159.8125
11/1/1986,208.7708
11/11/1986,301.7292
11/21/1986,396.9583
12/1/1986,436.1042
12/11/1986,441.625
12/21/1986,441.9167
1/1/1987,431.125
1/11/1987,416.3958
1/21/1987,373.375
2/1/1987,319.125
2/11/1987,220.125
2/21/1987,114.6667
3/1/1987,63.8333
3/11/1987,65.4792
3/21/1987,63.7708
4/1/1987,155.8958
4/11/1987,235.9375
4/21/1987,284.9583
5/1/1987,360.5
5/11/1987,398.0208
5/21/1987,443.0208
6/1/1987,496.3542
6/11/1987,483.8958
6/21/1987,494.8125
7/1/1987,394.1875
7/11/1987,318.5417
7/21/1987,269.5833
8/1/1987,223.4167
8/11/1987,205.4167
8/21/1987,177.2708
9/1/1987,125.3125
9/11/1987,125.3333
9/21/1987,116.5417
10/1/1987,127.6458
10/11/1987,130.8125
10/21/1987,139.4167
11/1/1987,191.2708
11/11/1987,253.6667
11/21/1987,289.5625
12/1/1987,299.5833
12/11/1987,299.2292
12/21/1987,298.1875
1/1/1988,299.3542
1/11/1988,296.3542
1/21/1988,286.0833
2/1/1988,206.7917
2/11/1988,125.2708
2/21/1988,75
3/1/1988,80.75
3/11/1988,102.3333
3/21/1988,179.0833
4/1/1988,262.4375
4/11/1988,400.1875
4/21/1988,646.625
5/1/1988,689.4375
5/11/1988,729.3542
5/21/1988,774.0625
6/1/1988,760.8958
6/11/1988,775.5208
6/21/1988,708.3958
7/1/1988,617.2708
7/11/1988,483.2083
7/21/1988,246.5417
8/1/1988,225.7083
8/11/1988,190.0833
8/21/1988,168.3333
9/1/1988,180.4375
9/11/1988,165.8542
9/21/1988,162.25
10/1/1988,167.4583
10/11/1988,169.4583
10/21/1988,247.8125
11/1/1988,316.8958
11/11/1988,431.375
11/21/1988,446.8125
12/1/1988,462.3958
12/11/1988,454.1458
12/21/1988,510.7083
1/1/1989,517.7083
1/11/1989,524.8125
1/21/1989,445.1875
2/1/1989,362.7708
2/11/1989,241.6875
2/21/1989,203.9792
3/1/1989,175.7917
3/11/1989,205.0625
3/21/1989,175.0833
4/1/1989,307.6875
4/11/1989,320.1667
4/21/1989,400.4583
5/1/1989,440.1042
5/11/1989,523.8542
5/21/1989,551.0208
6/1/1989,550.3333
6/11/1989,510.3333
6/21/1989,480.7917
7/1/1989,344.375
7/11/1989,323.4375
7/21/1989,240.4375
8/1/1989,205.7917
8/11/1989,130.5833
8/21/1989,119.5417
9/1/1989,132.0833
9/11/1989,134.4375
9/21/1989,154.625
10/1/1989,173.125
10/11/1989,175.8958
10/21/1989,277.75
11/1/1989,302.5208
11/11/1989,372.5
11/21/1989,449.2708
12/1/1989,472.375
12/11/1989,474.3125
12/21/1989,473.0625
1/1/1990,485.8542
1/11/1990,477.6458
1/21/1990,379.5625
2/1/1990,345.5417
2/11/1990,283.625
2/21/1990,203.4792
3/1/1990,231.1667
3/11/1990,318.625
3/21/1990,331.8333
4/1/1990,427.6667
4/11/1990,539.0417
4/21/1990,621.875
5/1/1990,657.4375
5/11/1990,693.9583
5/21/1990,723.3542
6/1/1990,663.7708
6/11/1990,573.0625
6/21/1990,541.6458
7/1/1990,405.5
7/11/1990,295.4792
7/21/1990,209.125
8/1/1990,174.5833
8/11/1990,127.0625
8/21/1990,87.9375
9/1/1990,88.625
9/11/1990,102.4792
9/21/1990,103.9375
10/1/1990,112.9792
10/11/1990,163.4792
10/21/1990,229.9583
11/1/1990,302.375
11/11/1990,377.875
11/21/1990,405.8125
12/1/1990,449
12/11/1990,476.9583
12/21/1990,477.4375
1/1/1991,473.2708
1/11/1991,416.8542
1/21/1991,347.3333
2/1/1991,268.4583
2/11/1991,188.6667
2/21/1991,155.0833
3/1/1991,110.6875
3/11/1991,77.4583
3/21/1991,131.2917
4/1/1991,177.9792
4/11/1991,227.125
4/21/1991,286.9167
5/1/1991,325.75
5/11/1991,454.4583
5/21/1991,533.1042
6/1/1991,531.9792
6/11/1991,522.9792
6/21/1991,466.2917
7/1/1991,427.8333
7/11/1991,388.2917
7/21/1991,333.3333
8/1/1991,304.1042
8/11/1991,191.5208
8/21/1991,132.2917
9/1/1991,128.1458
9/11/1991,123.1042
9/21/1991,129.6042
10/1/1991,133.7292
10/11/1991,181.3958
10/21/1991,193.8333
11/1/1991,217.5625
11/11/1991,253.3125
11/21/1991,284.7292
12/1/1991,290.1458
12/11/1991,310.4167
12/21/1991,327.1667
1/1/1992,304.8958
1/11/1992,251.6042
1/21/1992,228.8958
2/1/1992,197.7083
2/11/1992,145.7083
2/21/1992,96.0833
3/1/1992,90.9792
3/11/1992,72.2292
3/21/1992,55.9167
4/1/1992,191.5
4/11/1992,250.8958
4/21/1992,324.875
5/1/1992,428.7292
5/11/1992,476.7083
5/21/1992,543.7708
6/1/1992,544.5417
6/11/1992,546.625
6/21/1992,541.0417
7/1/1992,419.8958
7/11/1992,367.0208
7/21/1992,300.7083
8/1/1992,205.7083
8/11/1992,163.4792
8/21/1992,99.9167
9/1/1992,105.9375
9/11/1992,105.8125
9/21/1992,108.1042
10/1/1992,105.8958
10/11/1992,108.2917
10/21/1992,171.8958
11/1/1992,247.1458
11/11/1992,329.8542
11/21/1992,365.5417
12/1/1992,386.5
12/11/1992,447.4792
12/21/1992,447.3333
1/1/1993,481.125
1/11/1993,530.5625
1/21/1993,476.5208
2/1/1993,399.2083
2/11/1993,335.5
2/21/1993,296.5417
3/1/1993,283.0208
3/11/1993,237.0208
3/21/1993,240.5
4/1/1993,217
4/11/1993,250.5
4/21/1993,294.8958
5/1/1993,372.3125
5/11/1993,383.2708
5/21/1993,406.8542
6/1/1993,399.1667
6/11/1993,387.3542
6/21/1993,382.2917
7/1/1993,365.1875
7/11/1993,288.1042
7/21/1993,232.9583
8/1/1993,151.0625
8/11/1993,118.5208
8/21/1993,100.1042
9/1/1993,99.3125
9/11/1993,94.1667
9/21/1993,89.75
10/1/1993,98.1458
10/11/1993,98.4792
10/21/1993,136.6875
11/1/1993,175.1042
11/11/1993,225.6667
11/21/1993,309.3333
12/1/1993,327.1875
12/11/1993,335.4583
12/21/1993,340.4583
1/1/1994,333.2917
1/11/1994,320.4583
1/21/1994,282.9583
2/1/1994,240.7917
2/11/1994,198.5208
2/21/1994,108.5625
3/1/1994,86.7708
3/11/1994,85.6458
3/21/1994,114.5
4/1/1994,208.8542
4/11/1994,260.5625
4/21/1994,440.375
5/1/1994,499.5417
5/11/1994,538.9375
5/21/1994,605.9583
6/1/1994,606.0417
6/11/1994,603.0833
6/21/1994,577.125
7/1/1994,493
7/11/1994,450.2083
7/21/1994,284.1042
8/1/1994,234.9583
8/11/1994,191.7292
8/21/1994,134.9583
9/1/1994,140.0208
9/11/1994,140
9/21/1994,135.0417
10/1/1994,138.5
10/11/1994,230.8542
10/21/1994,282.6875
11/1/1994,432.3125
11/11/1994,565.4167
11/21/1994,596.375
12/1/1994,620.6042
12/11/1994,625.3125
12/21/1994,626.1042
1/1/1995,609.4375
1/11/1995,506.1458
1/21/1995,434.2292
2/1/1995,292.4167
2/11/1995,174.4375
2/21/1995,133.0417
3/1/1995,185.9792
3/11/1995,179.1875
3/21/1995,197.2083
4/1/1995,234.7708
4/11/1995,323.5625
4/21/1995,452.125
5/1/1995,472.3542
5/11/1995,544.3542
5/21/1995,579.9583
6/1/1995,496.1875
6/11/1995,496.1458
6/21/1995,481.4167
7/1/1995,444.7292
7/11/1995,359.2083
7/21/1995,240.4583
8/1/1995,220.0833
8/11/1995,150.9375
8/21/1995,128.1042
9/1/1995,143.3958
9/11/1995,152.0625
9/21/1995,152.3958
10/1/1995,198.8333
10/11/1995,215.7292
10/21/1995,313.3333
11/1/1995,327.8542
11/11/1995,385.25
11/21/1995,420.5833
12/1/1995,422.375
12/11/1995,472.9375
12/21/1995,468.6458
1/1/1996,420.75
1/11/1996,404.3125
1/21/1996,325.3958
2/1/1996,293.0417
2/11/1996,220.0625
2/21/1996,172.6042
3/1/1996,167.6875
3/11/1996,134.2708
3/21/1996,195.4375
4/1/1996,255.3958
4/11/1996,265.6458
4/21/1996,249.5
5/1/1996,272.8333
5/11/1996,337.2292
5/21/1996,388.4167
6/1/1996,397.375
6/11/1996,383.6458
6/21/1996,324.3125
7/1/1996,277.9583
7/11/1996,280.7708
7/21/1996,276.9792
8/1/1996,256.2292
8/11/1996,185.5833
8/21/1996,149.3958
9/1/1996,128.6667
