year,month,avg_rainfall_mm
2014,1,259.33
2014,2,201.62
2014,3,184.92
2014,4,269.88
2014,5,339.76
2014,6,359.62
2014,7,282.76
2014,8,262.84
2014,9,252.21
2014,10,296.45
2014,11,314.38
2014,12,321.02
2015,1,249.0
2015,2,146.04
2015,3,85.34
2015,4,267.82
2015,5,455.4
2015,6,529.61
2015,7,376.64
2015,8,221.58
2015,9,163.05
2015,10,202.0
2015,11,359.73
2015,12,450.48
2016,1,428.37
2016,2,254.62
2016,3,170.37
2016,4,284.42
2016,5,448.4
2016,6,457.0
2016,7,329.54
2016,8,187.37
2016,9,161.42
2016,10,169.64
2016,11,215.12
2016,12,242.59
2017,1,196.05
2017,2,140.64
2017,3,134.11
2017,4,225.24
2017,5,354.9
2017,6,370.84
2017,7,344.34
2017,8,265.5
2017,9,277.77
2017,10,290.38
2017,11,353.54
2017,12,321.58
2018,1,245.69
2018,2,107.82
2018,3,206.82
2018,4,464.41
2018,5,723.67
2018,6,712.67
2018,7,519.29
2018,8,293.28
2018,9,210.88
2018,10,209.56
2018,11,258.04
2018,12,322.93
2019,1,285.94
2019,2,204.42
2019,3,128.28
2019,4,162.83
2019,5,309.13
2019,6,379.36
2019,7,372.97
2019,8,282.74
2019,9,251.65
2019,10,371.55
2019,11,516.06
2019,12,677.82
2020,1,584.86
2020,2,449.48
2020,3,342.59
2020,4,481.28
2020,5,645.2
2020,6,605.69
2020,7,462.38
2020,8,310.56
2020,9,307.34
2020,10,333.45
2020,11,433.41
2020,12,437.82
2021,1,368.33
2021,2,213.35
2021,3,160.8
2021,4,261.79
2021,5,438.08
2021,6,447.0
2021,7,355.46
2021,8,203.71
2021,9,223.06
2021,10,250.49
2021,11,260.46
2021,12,267.51
2022,1,257.93
2022,2,266.08
2022,3,238.55
2022,4,278.69
2022,5,367.84
2022,6,380.01
2022,7,313.73
2022,8,236.56
2022,9,257.01
2022,10,275.4
2022,11,311.87
2022,12,327.0
2023,1,305.33
2023,2,180.92
2023,3,150.33
2023,4,320.22
2023,5,506.92
2023,6,518.75
2023,7,366.3
2023,8,226.65
2023,9,215.84
2023,10,268.05
2023,11,461.47
2023,12,516.14
2024,1,494.02
2024,2,315.52
2024,3,261.73
2024,4,397.67
2024,5,570.78
2024,6,564.98
2024,7,403.16
2024,8,238.82
2024,9,225.47
2024,10,227.03
2024,11,295.41
2024,12,371.3
