date,region,county,market,category,commodity,unit,pricetype,price
1/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,16.13
1/15/2006,Eastern,Kitui,Kitui,cereals and tubers,Sorghum,90 KG,Wholesale,1800
1/15/2006,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,Retail,39
1/15/2006,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,Retail,21
1/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,Retail,26
1/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,15.48
1/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,1399
1/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,664.43
1/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,Wholesale,1960
1/15/2006,Nairobi,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",500 ML,Retail,22
1/15/2006,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,Retail,115
1/15/2006,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,Retail,30
1/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,14.84
1/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1074.07
1/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,Wholesale,1600
1/15/2006,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,Retail,26
1/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,Wholesale,45.85
2/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,16.41
2/15/2006,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),KG,Retail,18
2/15/2006,Eastern,Kitui,Kitui,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1555.55
2/15/2006,Eastern,Kitui,Kitui,cereals and tubers,Sorghum,90 KG,Wholesale,2000
2/15/2006,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,Retail,42
2/15/2006,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,Retail,22
2/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,16.41
2/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,694.44
2/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,Wholesale,2260
2/15/2006,Nairobi,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",500 ML,Retail,25
2/15/2006,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,Retail,120
2/15/2006,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,Wholesale,47.1
2/15/2006,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans (dry),90 KG,Wholesale,3485
2/15/2006,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,Retail,29
2/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,17.83
2/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,Wholesale,1456
2/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,Wholesale,1600
2/15/2006,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,Wholesale,42.79
2/15/2006,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,Retail,28
2/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,13.12
2/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),90 KG,Wholesale,1304
2/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1038.33
2/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,Wholesale,1504
2/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),90 KG,Wholesale,3150
3/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,16.98
3/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,Wholesale,1476
3/15/2006,Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,Wholesale,44.69
3/15/2006,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),KG,Retail,18
3/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,Retail,26
3/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,16.91
3/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,1500
3/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,961.11
