Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Kenya,KEN,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,277100
Kenya,KEN,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,277100
Kenya,KEN,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,277100
Kenya,KEN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,276990
Kenya,KEN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,276880
Kenya,KEN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,276770
Kenya,KEN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,276660
Kenya,KEN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,276540
Kenya,KEN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,276430
Kenya,KEN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,276320
Kenya,KEN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,276210
Kenya,KEN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,273100
Kenya,KEN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,272850
Kenya,KEN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,270850
Kenya,KEN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,270700
Kenya,KEN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,270540
Kenya,KEN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,270020
Kenya,KEN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,269920
Kenya,KEN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,268740
Kenya,KEN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,268180
Kenya,KEN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,268390
Kenya,KEN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,266710
Kenya,KEN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,268760
Kenya,KEN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,264580
Kenya,KEN,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,265940
Kenya,KEN,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,264510
Kenya,KEN,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,272180
Kenya,KEN,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,272320
Kenya,KEN,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,268400
