Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
KEN,1970-01-01,1970-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1970,1970,SLC,1.7480701193,E
KEN,1971-01-01,1971-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1971,1971,SLC,1.8189654342,E
KEN,1972-01-01,1972-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1972,1972,SLC,1.9419142278,E
KEN,1973-01-01,1973-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1973,1973,SLC,2.1400344224,E
KEN,1974-01-01,1974-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1974,1974,SLC,2.4723321488,E
KEN,1975-01-01,1975-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1975,1975,SLC,2.8005605823,E
KEN,1976-01-01,1976-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1976,1976,SLC,3.2693723144,E
KEN,1977-01-01,1977-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1977,1977,SLC,3.8288740610,E
KEN,1978-01-01,1978-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1978,1978,SLC,3.8843975094,E
KEN,1979-01-01,1979-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1979,1979,SLC,4.1528629211,E
KEN,1980-01-01,1980-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1980,1980,SLC,4.5469365790,E
KEN,1981-01-01,1981-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1981,1981,SLC,5.0386697470,E
KEN,1982-01-01,1982-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1982,1982,SLC,5.6503772551,E
KEN,1983-01-01,1983-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1983,1983,SLC,6.3164335130,E
KEN,1984-01-01,1984-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1984,1984,SLC,6.9593449590,E
KEN,1985-01-01,1985-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1985,1985,SLC,7.5363270292,E
KEN,1986-01-01,1986-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1986,1986,SLC,8.1910947671,E
KEN,1987-01-01,1987-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1987,1987,SLC,8.6335447435,E
KEN,1988-01-01,1988-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1988,1988,SLC,9.3718411691,E
KEN,1989-01-01,1989-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1989,1989,SLC,10.1581279278,E
KEN,1990-01-01,1990-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1990,1990,SLC,11.1075986418,E
KEN,1991-01-01,1991-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1991,1991,SLC,12.3943036280,E
KEN,1992-01-01,1992-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1992,1992,SLC,14.4641977825,E
KEN,1993-01-01,1993-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1993,1993,SLC,18.0145865564,E
KEN,1994-01-01,1994-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1994,1994,SLC,21.5850332363,E
KEN,1995-01-01,1995-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1995,1995,SLC,24.4331554763,E
KEN,1996-01-01,1996-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1996,1996,SLC,26.6605431899,E
KEN,1997-01-01,1997-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1997,1997,SLC,29.7648924643,E
KEN,1998-01-01,1998-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1998,1998,SLC,31.8304482845,E
KEN,1999-01-01,1999-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",1999,1999,SLC,33.1626287839,E
KEN,2000-01-01,2000-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2000,2000,SLC,35.1993283539,E
KEN,2001-01-01,2001-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2001,2001,SLC,35.7961119323,E
KEN,2002-01-01,2002-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2002,2002,SLC,36.1369452309,E
KEN,2003-01-01,2003-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2003,2003,SLC,38.3772682763,E
KEN,2004-01-01,2004-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2004,2004,SLC,41.1125385398,E
KEN,2005-01-01,2005-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2005,2005,SLC,43.1278336059,E
KEN,2006-01-01,2006-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2006,2006,SLC,46.4849137250,E
KEN,2007-01-01,2007-12-31,114,'404,Kenya,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2007,2007,SLC,50.2642418864,E
