Iso3,Item Code,Year,Value
#country+code,#indicator+code,#date+year,#indicator+value+num
KEN,23013,2000,19.734948
KEN,23013,2001,22.919383
KEN,23013,2002,23.059345
KEN,23013,2003,25.023064
KEN,23013,2004,28.093690
KEN,23013,2005,33.750519
KEN,23013,2006,37.435699
KEN,23013,2007,39.744784
KEN,23013,2008,43.969660
KEN,23013,2009,51.888940
KEN,23013,2010,56.691132
KEN,23013,2011,61.541847
KEN,23013,2012,76.665098
KEN,23013,2013,78.503983
KEN,23013,2014,86.465947
KEN,23013,2015,93.101516
KEN,23013,2016,104.931799
KEN,23013,2017,118.090990
KEN,23013,2018,123.648316
KEN,23013,2019,125.645336
KEN,23013,2020,145.893986
KEN,23013,2021,157.252556
KEN,23013,2022,169.804501
KEN,23013,2023,191.773270
KEN,23013,2024,206.977209
KEN,23013,2000,19.562542
KEN,23013,2001,22.237390
KEN,23013,2002,22.591119
KEN,23013,2003,24.842581
KEN,23013,2004,28.131088
KEN,23013,2005,33.432591
KEN,23013,2006,37.419825
KEN,23013,2007,38.972484
KEN,23013,2008,44.763908
KEN,23013,2009,53.161678
KEN,23013,2010,57.014982
KEN,23013,2011,62.612284
KEN,23013,2012,76.431894
KEN,23013,2013,79.514760
KEN,23013,2014,86.779662
KEN,23013,2015,94.326158
KEN,23013,2016,104.485058
KEN,23013,2017,121.730132
KEN,23013,2018,126.397944
KEN,23013,2019,127.781673
KEN,23013,2020,147.873802
KEN,23013,2021,158.531710
KEN,23013,2022,171.219221
KEN,23013,2023,194.073421
KEN,23013,2024,207.484234
KEN,23013,2000,19.492224
KEN,23013,2001,21.969282
KEN,23013,2002,22.560452
KEN,23013,2003,25.630247
KEN,23013,2004,28.489839
KEN,23013,2005,33.941749
KEN,23013,2006,37.698327
KEN,23013,2007,38.856652
KEN,23013,2008,45.427847
KEN,23013,2009,54.114458
KEN,23013,2010,56.544961
KEN,23013,2011,65.078889
KEN,23013,2012,78.297319
KEN,23013,2013,80.588819
KEN,23013,2014,87.267179
KEN,23013,2015,96.827732
KEN,23013,2016,105.939055
KEN,23013,2017,125.597199
KEN,23013,2018,128.349124
KEN,23013,2019,132.560364
KEN,23013,2020,148.737192
KEN,23013,2021,158.588646
KEN,23013,2022,173.850230
KEN,23013,2023,197.127717
KEN,23013,2024,208.482034
KEN,23013,2000,19.959572
KEN,23013,2001,22.397928
KEN,23013,2002,22.652159
KEN,23013,2003,26.203161
KEN,23013,2004,28.860347
KEN,23013,2005,35.130423
KEN,23013,2006,37.446207
KEN,23013,2007,38.440941
KEN,23013,2008,47.224924
KEN,23013,2009,55.135133
KEN,23013,2010,57.223030
KEN,23013,2011,68.175712
KEN,23013,2012,79.248525
KEN,23013,2013,82.077495
KEN,23013,2014,88.714342
KEN,23013,2015,100.619416
KEN,23013,2016,107.501792
KEN,23013,2017,130.060276
KEN,23013,2018,130.392453
KEN,23013,2019,135.119980
KEN,23013,2020,151.372142
KEN,23013,2021,161.287380
KEN,23013,2022,178.989500
KEN,23013,2023,196.986267
KEN,23013,2024,208.201821
KEN,23013,2000,20.859616
KEN,23013,2001,22.794996
KEN,23013,2002,23.310834
KEN,23013,2003,28.018325
KEN,23013,2004,29.755144
KEN,23013,2005,35.707796
KEN,23013,2006,37.605212
KEN,23013,2007,38.649659
KEN,23013,2008,48.488806
KEN,23013,2009,55.035525
KEN,23013,2010,57.477338
KEN,23013,2011,69.044885
KEN,23013,2012,79.107419
KEN,23013,2013,82.492010
KEN,23013,2014,89.823203
KEN,23013,2015,101.682715
KEN,23013,2016,108.381243
KEN,23013,2017,131.704737
KEN,23013,2018,132.156543
KEN,23013,2019,137.441731
KEN,23013,2020,151.513334
KEN,23013,2021,161.941765
KEN,23013,2022,181.235982
KEN,23013,2023,199.952729
KEN,23013,2024,212.143775
KEN,23013,2000,21.788795
KEN,23013,2001,23.126842
KEN,23013,2002,24.002786
KEN,23013,2003,28.460150
KEN,23013,2004,30.719481
KEN,23013,2005,35.654143
KEN,23013,2006,37.580021
KEN,23013,2007,39.604616
KEN,23013,2008,48.634982
KEN,23013,2009,54.901631
KEN,23013,2010,57.301287
KEN,23013,2011,70.206062
KEN,23013,2012,77.597493
KEN,23013,2013,82.639161
KEN,23013,2014,89.589041
KEN,23013,2015,101.580835
KEN,23013,2016,110.612932
KEN,23013,2017,128.101772
