"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Embu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","6195.5","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kitui","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","5110.755","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Meru","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","7672.12","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Samburu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","10","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tharaka-Nithi","Crops Productivity","Crops Primary","Production Quantity (Crops)","Pearl Millet (Production Quantity)","7608","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","0","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","0","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","0","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","386","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","644","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","542.8","Tonnes","2017","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","548","Tonnes","2018","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","820","Tonnes","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","807","Tonnes","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cowpea (Production Quantity)","751","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","2617.9","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Finger Millet (Production Quantity)","2700.6","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","67.95","Tonnes","2012","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","110","Tonnes","2013","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","302","Tonnes","2014","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","348","Tonnes","2015","Ministry of Agriculture and Livestock Development","Estimated Value"
"Busia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Green Grams (Production Quantity)","233","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Elgeyo Marakwet","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","2079","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","82","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kajiado","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","0","Tonnes","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Laikipia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","142","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Lamu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","84999","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Mombasa","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","2376","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Samburu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","10","Tonnes","2016","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tharaka-Nithi","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","1304","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","452","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","290","Tonnes","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Vihiga","Crops Productivity","Crops Primary","Production Quantity (Crops)","Cassava (Production Quantity)","460","Tonnes","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
